Sexo,Municipios,Periodo,Total
Total,28066 Griñón,2016,9.938
Total,28067 Guadalix de la Sierra,2025,6.993
Total,28067 Guadalix de la Sierra,2024,6.904
Total,28067 Guadalix de la Sierra,2023,6.814
Total,28067 Guadalix de la Sierra,2022,6.672
Total,28067 Guadalix de la Sierra,2021,6.594
Total,28067 Guadalix de la Sierra,2020,6.440
Total,28067 Guadalix de la Sierra,2019,6.214
Total,28067 Guadalix de la Sierra,2018,6.119
Total,28067 Guadalix de la Sierra,2017,6.049
Total,28067 Guadalix de la Sierra,2016,5.982
Total,28068 Guadarrama,2025,17.547
Total,28068 Guadarrama,2024,17.062
Total,28068 Guadarrama,2023,17.063
Total,28068 Guadarrama,2022,16.921
Total,28068 Guadarrama,2021,16.747
Total,28068 Guadarrama,2020,16.560
Total,28068 Guadarrama,2019,16.032
Total,28068 Guadarrama,2018,15.785
Total,28068 Guadarrama,2017,15.620
Total,28068 Guadarrama,2016,15.488
Total,"28069 Hiruela, La",2025,88
Total,"28069 Hiruela, La",2024,83
Total,"28069 Hiruela, La",2023,74
Total,"28069 Hiruela, La",2022,75
Total,"28069 Hiruela, La",2021,72
Total,"28069 Hiruela, La",2020,65
Total,"28069 Hiruela, La",2019,57
Total,"28069 Hiruela, La",2018,48
Total,"28069 Hiruela, La",2017,52
Total,"28069 Hiruela, La",2016,54
Total,28070 Horcajo de la Sierra-Aoslos,2025,219
Total,28070 Horcajo de la Sierra-Aoslos,2024,233
Total,28070 Horcajo de la Sierra-Aoslos,2023,234
Total,28070 Horcajo de la Sierra-Aoslos,2022,201
Total,28070 Horcajo de la Sierra-Aoslos,2021,170
Total,28070 Horcajo de la Sierra-Aoslos,2020,152
Total,28070 Horcajo de la Sierra-Aoslos,2019,145
Total,28070 Horcajo de la Sierra-Aoslos,2018,148
Total,28070 Horcajo de la Sierra-Aoslos,2017,142
Total,28070 Horcajo de la Sierra-Aoslos,2016,143
Total,28071 Horcajuelo de la Sierra,2025,104
Total,28071 Horcajuelo de la Sierra,2024,111
Total,28071 Horcajuelo de la Sierra,2023,108
Total,28071 Horcajuelo de la Sierra,2022,110
Total,28071 Horcajuelo de la Sierra,2021,106
Total,28071 Horcajuelo de la Sierra,2020,89
Total,28071 Horcajuelo de la Sierra,2019,86
Total,28071 Horcajuelo de la Sierra,2018,89
Total,28071 Horcajuelo de la Sierra,2017,88
Total,28071 Horcajuelo de la Sierra,2016,86
Total,28072 Hoyo de Manzanares,2025,9.310
Total,28072 Hoyo de Manzanares,2024,9.178
Total,28072 Hoyo de Manzanares,2023,8.973
Total,28072 Hoyo de Manzanares,2022,8.811
Total,28072 Hoyo de Manzanares,2021,8.680
Total,28072 Hoyo de Manzanares,2020,8.529
Total,28072 Hoyo de Manzanares,2019,8.434
Total,28072 Hoyo de Manzanares,2018,8.222
Total,28072 Hoyo de Manzanares,2017,8.032
Total,28072 Hoyo de Manzanares,2016,7.965
Total,28073 Humanes de Madrid,2025,20.500
Total,28073 Humanes de Madrid,2024,20.074
Total,28073 Humanes de Madrid,2023,19.902
Total,28073 Humanes de Madrid,2022,19.838
Total,28073 Humanes de Madrid,2021,19.736
Total,28073 Humanes de Madrid,2020,19.701
Total,28073 Humanes de Madrid,2019,19.743
Total,28073 Humanes de Madrid,2018,19.587
Total,28073 Humanes de Madrid,2017,19.607
Total,28073 Humanes de Madrid,2016,19.563
Total,28074 Leganés,2025,195.734
Total,28074 Leganés,2024,194.084
Total,28074 Leganés,2023,190.665
Total,28074 Leganés,2022,186.660
Total,28074 Leganés,2021,187.762
Total,28074 Leganés,2020,191.114
Total,28074 Leganés,2019,189.861
Total,28074 Leganés,2018,188.425
Total,28074 Leganés,2017,187.720
Total,28074 Leganés,2016,187.173
Total,28075 Loeches,2025,9.261
Total,28075 Loeches,2024,9.200
Total,28075 Loeches,2023,9.108
Total,28075 Loeches,2022,8.944
Total,28075 Loeches,2021,8.860
Total,28075 Loeches,2020,8.897
Total,28075 Loeches,2019,8.791
Total,28075 Loeches,2018,8.673
Total,28075 Loeches,2017,8.525
Total,28075 Loeches,2016,8.388
Total,28076 Lozoya,2025,598
Total,28076 Lozoya,2024,617
Total,28076 Lozoya,2023,621
Total,28076 Lozoya,2022,602
Total,28076 Lozoya,2021,593
Total,28076 Lozoya,2020,580
Total,28076 Lozoya,2019,581
Total,28076 Lozoya,2018,559
Total,28076 Lozoya,2017,559
Total,28076 Lozoya,2016,576
Total,28901 Lozoyuela-Navas-Sieteiglesias,2025,1.468
Total,28901 Lozoyuela-Navas-Sieteiglesias,2024,1.483
Total,28901 Lozoyuela-Navas-Sieteiglesias,2023,1.483
Total,28901 Lozoyuela-Navas-Sieteiglesias,2022,1.461
Total,28901 Lozoyuela-Navas-Sieteiglesias,2021,1.407
Total,28901 Lozoyuela-Navas-Sieteiglesias,2020,1.340
Total,28901 Lozoyuela-Navas-Sieteiglesias,2019,1.299
Total,28901 Lozoyuela-Navas-Sieteiglesias,2018,1.266
Total,28901 Lozoyuela-Navas-Sieteiglesias,2017,1.237
Total,28901 Lozoyuela-Navas-Sieteiglesias,2016,1.210
Total,28078 Madarcos,2025,69
Total,28078 Madarcos,2024,70
Total,28078 Madarcos,2023,72
Total,28078 Madarcos,2022,63
Total,28078 Madarcos,2021,57
Total,28078 Madarcos,2020,49
Total,28078 Madarcos,2019,48
Total,28078 Madarcos,2018,47
Total,28078 Madarcos,2017,46
Total,28078 Madarcos,2016,47
Total,28079 Madrid,2025,3.506.730
Total,28079 Madrid,2024,3.416.771
Total,28079 Madrid,2023,3.332.035
Total,28079 Madrid,2022,3.280.782
Total,28079 Madrid,2021,3.305.408
Total,28079 Madrid,2020,3.334.730
Total,28079 Madrid,2019,3.266.126
Total,28079 Madrid,2018,3.223.334
Total,28079 Madrid,2017,3.182.981
Total,28079 Madrid,2016,3.165.541
Total,28 Madrid,2025,7.137.031
Total,28 Madrid,2024,7.001.715
Total,28 Madrid,2023,6.859.914
Total,28 Madrid,2022,6.750.336
Total,28 Madrid,2021,6.751.251
Total,28 Madrid,2020,6.779.888
Total,28 Madrid,2019,6.663.394
Total,28 Madrid,2018,6.578.079
Total,28 Madrid,2017,6.507.184
Total,28 Madrid,2016,6.466.996
Total,28080 Majadahonda,2025,73.625
Total,28080 Majadahonda,2024,73.355
Total,28080 Majadahonda,2023,72.548
Total,28080 Majadahonda,2022,72.179
Total,28080 Majadahonda,2021,72.034
Total,28080 Majadahonda,2020,72.155
Total,28080 Majadahonda,2019,71.826
Total,28080 Majadahonda,2018,71.785
Total,28080 Majadahonda,2017,71.299
Total,28080 Majadahonda,2016,70.755
Total,28082 Manzanares el Real,2025,9.648
Total,28082 Manzanares el Real,2024,9.550
Total,28082 Manzanares el Real,2023,9.386
Total,28082 Manzanares el Real,2022,9.247
Total,28082 Manzanares el Real,2021,9.202
Total,28082 Manzanares el Real,2020,8.936
Total,28082 Manzanares el Real,2019,8.840
Total,28082 Manzanares el Real,2018,8.597
Total,28082 Manzanares el Real,2017,8.500
Total,28082 Manzanares el Real,2016,8.387
Total,28083 Meco,2025,15.922
Total,28083 Meco,2024,15.732
Total,28083 Meco,2023,15.404
Total,28083 Meco,2022,15.143
Total,28083 Meco,2021,14.903
Total,28083 Meco,2020,14.670
Total,28083 Meco,2019,14.305
Total,28083 Meco,2018,13.959
Total,28083 Meco,2017,13.570
Total,28083 Meco,2016,13.426
Total,28084 Mejorada del Campo,2025,25.049
Total,28084 Mejorada del Campo,2024,24.659
Total,28084 Mejorada del Campo,2023,24.274
Total,28084 Mejorada del Campo,2022,23.897
Total,28084 Mejorada del Campo,2021,23.737
Total,28084 Mejorada del Campo,2020,23.639
Total,28084 Mejorada del Campo,2019,23.274
Total,28084 Mejorada del Campo,2018,23.241
Total,28084 Mejorada del Campo,2017,22.948
Total,28084 Mejorada del Campo,2016,22.900
Total,28085 Miraflores de la Sierra,2025,7.350
Total,28085 Miraflores de la Sierra,2024,7.139
Total,28085 Miraflores de la Sierra,2023,6.945
Total,28085 Miraflores de la Sierra,2022,6.711
Total,28085 Miraflores de la Sierra,2021,6.585
Total,28085 Miraflores de la Sierra,2020,6.362
Total,28085 Miraflores de la Sierra,2019,6.108
Total,28085 Miraflores de la Sierra,2018,5.897
Total,28085 Miraflores de la Sierra,2017,5.817
Total,28085 Miraflores de la Sierra,2016,5.754
Total,"28086 Molar, El",2025,9.999
Total,"28086 Molar, El",2024,10.052
Total,"28086 Molar, El",2023,9.759
Total,"28086 Molar, El",2022,9.437
Total,"28086 Molar, El",2021,9.291
Total,"28086 Molar, El",2020,9.287
Total,"28086 Molar, El",2019,8.938
Total,"28086 Molar, El",2018,8.666
Total,"28086 Molar, El",2017,8.491
Total,"28086 Molar, El",2016,8.263
Total,"28087 Molinos, Los",2025,4.781
Total,"28087 Molinos, Los",2024,4.731
Total,"28087 Molinos, Los",2023,4.786
Total,"28087 Molinos, Los",2022,4.699
Total,"28087 Molinos, Los",2021,4.563
Total,"28087 Molinos, Los",2020,4.433
Total,"28087 Molinos, Los",2019,4.389
Total,"28087 Molinos, Los",2018,4.328
Total,"28087 Molinos, Los",2017,4.345
Total,"28087 Molinos, Los",2016,4.373
Total,28088 Montejo de la Sierra,2025,404
Total,28088 Montejo de la Sierra,2024,374
Total,28088 Montejo de la Sierra,2023,381
Total,28088 Montejo de la Sierra,2022,372
Total,28088 Montejo de la Sierra,2021,365
Total,28088 Montejo de la Sierra,2020,364
Total,28088 Montejo de la Sierra,2019,353
Total,28088 Montejo de la Sierra,2018,363
Total,28088 Montejo de la Sierra,2017,356
Total,28088 Montejo de la Sierra,2016,359
Total,28089 Moraleja de Enmedio,2025,5.580
Total,28089 Moraleja de Enmedio,2024,5.576
Total,28089 Moraleja de Enmedio,2023,5.453
Total,28089 Moraleja de Enmedio,2022,5.368
Total,28089 Moraleja de Enmedio,2021,5.294
Total,28089 Moraleja de Enmedio,2020,5.200
Total,28089 Moraleja de Enmedio,2019,5.136
Total,28089 Moraleja de Enmedio,2018,5.021
Total,28089 Moraleja de Enmedio,2017,4.870
Total,28089 Moraleja de Enmedio,2016,4.984
Total,28090 Moralzarzal,2025,14.772
Total,28090 Moralzarzal,2024,14.586
Total,28090 Moralzarzal,2023,14.124
Total,28090 Moralzarzal,2022,13.905
Total,28090 Moralzarzal,2021,13.573
Total,28090 Moralzarzal,2020,13.334
Total,28090 Moralzarzal,2019,13.026
Total,28090 Moralzarzal,2018,12.697
Total,28090 Moralzarzal,2017,12.496
Total,28090 Moralzarzal,2016,12.372
Total,28091 Morata de Tajuña,2025,8.397
Total,28091 Morata de Tajuña,2024,8.319
Total,28091 Morata de Tajuña,2023,8.115
Total,28091 Morata de Tajuña,2022,7.960
Total,28091 Morata de Tajuña,2021,7.924
Total,28091 Morata de Tajuña,2020,7.847
Total,28091 Morata de Tajuña,2019,7.683
Total,28091 Morata de Tajuña,2018,7.553
Total,28091 Morata de Tajuña,2017,7.482
Total,28091 Morata de Tajuña,2016,7.548
Total,28092 Móstoles,2025,214.817
Total,28092 Móstoles,2024,214.006
Total,28092 Móstoles,2023,211.265
Total,28092 Móstoles,2022,208.761
Total,28092 Móstoles,2021,209.639
Total,28092 Móstoles,2020,210.309
Total,28092 Móstoles,2019,209.184
Total,28092 Móstoles,2018,207.095
Total,28092 Móstoles,2017,206.589
Total,28092 Móstoles,2016,205.614
Total,28093 Navacerrada,2025,3.311
Total,28093 Navacerrada,2024,3.290
Total,28093 Navacerrada,2023,3.282
Total,28093 Navacerrada,2022,3.218
Total,28093 Navacerrada,2021,3.220
Total,28093 Navacerrada,2020,3.091
Total,28093 Navacerrada,2019,2.972
Total,28093 Navacerrada,2018,2.911
Total,28093 Navacerrada,2017,2.894
Total,28093 Navacerrada,2016,2.885
Total,28094 Navalafuente,2025,1.693
Total,28094 Navalafuente,2024,1.672
Total,28094 Navalafuente,2023,1.637
Total,28094 Navalafuente,2022,1.574
Total,28094 Navalafuente,2021,1.573
Total,28094 Navalafuente,2020,1.511
Total,28094 Navalafuente,2019,1.449
Total,28094 Navalafuente,2018,1.397
Total,28094 Navalafuente,2017,1.340
Total,28094 Navalafuente,2016,1.266
Total,28095 Navalagamella,2025,3.169
Total,28095 Navalagamella,2024,3.111
Total,28095 Navalagamella,2023,2.982
Total,28095 Navalagamella,2022,2.809
Total,28095 Navalagamella,2021,2.720
Total,28095 Navalagamella,2020,2.637
Total,28095 Navalagamella,2019,2.610
Total,28095 Navalagamella,2018,2.601
Total,28095 Navalagamella,2017,2.443
Total,28095 Navalagamella,2016,2.423
Total,28096 Navalcarnero,2025,33.331
Total,28096 Navalcarnero,2024,32.683
Total,28096 Navalcarnero,2023,31.974
Total,28096 Navalcarnero,2022,31.379
Total,28096 Navalcarnero,2021,30.695
Total,28096 Navalcarnero,2020,29.985
Total,28096 Navalcarnero,2019,29.298
Total,28096 Navalcarnero,2018,28.305
Total,28096 Navalcarnero,2017,27.570
Total,28096 Navalcarnero,2016,26.954
Total,28097 Navarredonda y San Mamés,2025,163
Total,28097 Navarredonda y San Mamés,2024,151
Total,28097 Navarredonda y San Mamés,2023,150
Total,28097 Navarredonda y San Mamés,2022,138
Total,28097 Navarredonda y San Mamés,2021,141
Total,28097 Navarredonda y San Mamés,2020,129
Total,28097 Navarredonda y San Mamés,2019,129
Total,28097 Navarredonda y San Mamés,2018,122
Total,28097 Navarredonda y San Mamés,2017,131
Total,28097 Navarredonda y San Mamés,2016,132
Total,28099 Navas del Rey,2025,3.420
Total,28099 Navas del Rey,2024,3.347
Total,28099 Navas del Rey,2023,3.244
Total,28099 Navas del Rey,2022,3.134
Total,28099 Navas del Rey,2021,3.062
Total,28099 Navas del Rey,2020,2.966
Total,28099 Navas del Rey,2019,2.918
Total,28099 Navas del Rey,2018,2.819
Total,28099 Navas del Rey,2017,2.751
Total,28099 Navas del Rey,2016,2.659
Total,28100 Nuevo Baztán,2025,7.429
Total,28100 Nuevo Baztán,2024,7.339
Total,28100 Nuevo Baztán,2023,7.050
Total,28100 Nuevo Baztán,2022,6.760
Total,28100 Nuevo Baztán,2021,6.630
Total,28100 Nuevo Baztán,2020,6.454
Total,28100 Nuevo Baztán,2019,6.276
Total,28100 Nuevo Baztán,2018,6.154
Total,28100 Nuevo Baztán,2017,6.091
Total,28100 Nuevo Baztán,2016,6.018
Total,28101 Olmeda de las Fuentes,2025,429
Total,28101 Olmeda de las Fuentes,2024,408
Total,28101 Olmeda de las Fuentes,2023,402
Total,28101 Olmeda de las Fuentes,2022,376
Total,28101 Olmeda de las Fuentes,2021,357
Total,28101 Olmeda de las Fuentes,2020,346
Total,28101 Olmeda de las Fuentes,2019,348
Total,28101 Olmeda de las Fuentes,2018,346
Total,28101 Olmeda de las Fuentes,2017,332
Total,28101 Olmeda de las Fuentes,2016,326
Total,28102 Orusco de Tajuña,2025,1.531
Total,28102 Orusco de Tajuña,2024,1.511
Total,28102 Orusco de Tajuña,2023,1.415
Total,28102 Orusco de Tajuña,2022,1.326
Total,28102 Orusco de Tajuña,2021,1.291
Total,28102 Orusco de Tajuña,2020,1.295
Total,28102 Orusco de Tajuña,2019,1.244
Total,28102 Orusco de Tajuña,2018,1.202
Total,28102 Orusco de Tajuña,2017,1.218
Total,28102 Orusco de Tajuña,2016,1.225
Total,28104 Paracuellos de Jarama,2025,27.650
Total,28104 Paracuellos de Jarama,2024,27.238
Total,28104 Paracuellos de Jarama,2023,27.000
Total,28104 Paracuellos de Jarama,2022,26.450
Total,28104 Paracuellos de Jarama,2021,26.235
Total,28104 Paracuellos de Jarama,2020,25.917
Total,28104 Paracuellos de Jarama,2019,25.269
Total,28104 Paracuellos de Jarama,2018,24.521
Total,28104 Paracuellos de Jarama,2017,23.905
Total,28104 Paracuellos de Jarama,2016,23.104
Total,28106 Parla,2025,137.471
Total,28106 Parla,2024,134.833
Total,28106 Parla,2023,133.004
Total,28106 Parla,2022,130.577
Total,28106 Parla,2021,131.689
Total,28106 Parla,2020,133.482
Total,28106 Parla,2019,130.124
Total,28106 Parla,2018,128.256
Total,28106 Parla,2017,125.898
Total,28106 Parla,2016,124.661
Total,28107 Patones,2025,617
Total,28107 Patones,2024,602
Total,28107 Patones,2023,566
Total,28107 Patones,2022,536
Total,28107 Patones,2021,524
Total,28107 Patones,2020,539
Total,28107 Patones,2019,541
Total,28107 Patones,2018,523
Total,28107 Patones,2017,553
Total,28107 Patones,2016,537
Total,28108 Pedrezuela,2025,6.606
Total,28108 Pedrezuela,2024,6.467
Total,28108 Pedrezuela,2023,6.400
Total,28108 Pedrezuela,2022,6.307
Total,28108 Pedrezuela,2021,6.226
Total,28108 Pedrezuela,2020,6.150
Total,28108 Pedrezuela,2019,5.892
Total,28108 Pedrezuela,2018,5.746
Total,28108 Pedrezuela,2017,5.613
Total,28108 Pedrezuela,2016,5.456
Total,28109 Pelayos de la Presa,2025,3.195
Total,28109 Pelayos de la Presa,2024,3.136
Total,28109 Pelayos de la Presa,2023,2.982
Total,28109 Pelayos de la Presa,2022,2.867
Total,28109 Pelayos de la Presa,2021,2.827
Total,28109 Pelayos de la Presa,2020,2.676
Total,28109 Pelayos de la Presa,2019,2.596
Total,28109 Pelayos de la Presa,2018,2.475
Total,28109 Pelayos de la Presa,2017,2.468
Total,28109 Pelayos de la Presa,2016,2.471
Total,28110 Perales de Tajuña,2025,3.260
Total,28110 Perales de Tajuña,2024,3.207
Total,28110 Perales de Tajuña,2023,3.176
Total,28110 Perales de Tajuña,2022,3.117
Total,28110 Perales de Tajuña,2021,3.059
Total,28110 Perales de Tajuña,2020,2.990
Total,28110 Perales de Tajuña,2019,2.935
Total,28110 Perales de Tajuña,2018,2.831
Total,28110 Perales de Tajuña,2017,2.817
Total,28110 Perales de Tajuña,2016,2.799
Total,28111 Pezuela de las Torres,2025,1.008
Total,28111 Pezuela de las Torres,2024,989
Total,28111 Pezuela de las Torres,2023,977
Total,28111 Pezuela de las Torres,2022,931
Total,28111 Pezuela de las Torres,2021,927
Total,28111 Pezuela de las Torres,2020,867
Total,28111 Pezuela de las Torres,2019,842
Total,28111 Pezuela de las Torres,2018,821
Total,28111 Pezuela de las Torres,2017,816
Total,28111 Pezuela de las Torres,2016,793
Total,28112 Pinilla del Valle,2025,200
Total,28112 Pinilla del Valle,2024,200
Total,28112 Pinilla del Valle,2023,204
Total,28112 Pinilla del Valle,2022,198
Total,28112 Pinilla del Valle,2021,196
Total,28112 Pinilla del Valle,2020,190
Total,28112 Pinilla del Valle,2019,191
Total,28112 Pinilla del Valle,2018,187
Total,28112 Pinilla del Valle,2017,185
Total,28112 Pinilla del Valle,2016,192
Total,28113 Pinto,2025,56.651
Total,28113 Pinto,2024,56.003
Total,28113 Pinto,2023,55.208
Total,28113 Pinto,2022,54.088
Total,28113 Pinto,2021,53.537
Total,28113 Pinto,2020,53.325
Total,28113 Pinto,2019,52.526
Total,28113 Pinto,2018,51.541
Total,28113 Pinto,2017,50.442
Total,28113 Pinto,2016,49.522
Total,28114 Piñuécar-Gandullas,2025,183
Total,28114 Piñuécar-Gandullas,2024,185
Total,28114 Piñuécar-Gandullas,2023,178
Total,28114 Piñuécar-Gandullas,2022,184
Total,28114 Piñuécar-Gandullas,2021,185
Total,28114 Piñuécar-Gandullas,2020,179
Total,28114 Piñuécar-Gandullas,2019,185
Total,28114 Piñuécar-Gandullas,2018,171
Total,28114 Piñuécar-Gandullas,2017,183
Total,28114 Piñuécar-Gandullas,2016,185
Total,28115 Pozuelo de Alarcón,2025,89.770
Total,28115 Pozuelo de Alarcón,2024,89.378
Total,28115 Pozuelo de Alarcón,2023,88.784
Total,28115 Pozuelo de Alarcón,2022,87.728
Total,28115 Pozuelo de Alarcón,2021,87.134
Total,28115 Pozuelo de Alarcón,2020,87.165
Total,28115 Pozuelo de Alarcón,2019,86.422
Total,28115 Pozuelo de Alarcón,2018,86.172
Total,28115 Pozuelo de Alarcón,2017,85.605
Total,28115 Pozuelo de Alarcón,2016,84.989
Total,28116 Pozuelo del Rey,2025,1.302
Total,28116 Pozuelo del Rey,2024,1.292
Total,28116 Pozuelo del Rey,2023,1.254
Total,28116 Pozuelo del Rey,2022,1.178
Total,28116 Pozuelo del Rey,2021,1.190
Total,28116 Pozuelo del Rey,2020,1.172
Total,28116 Pozuelo del Rey,2019,1.147
Total,28116 Pozuelo del Rey,2018,1.120
Total,28116 Pozuelo del Rey,2017,1.099
Total,28116 Pozuelo del Rey,2016,1.073
Total,28117 Prádena del Rincón,2025,146
Total,28117 Prádena del Rincón,2024,139
Total,28117 Prádena del Rincón,2023,150
Total,28117 Prádena del Rincón,2022,147
Total,28117 Prádena del Rincón,2021,149
Total,28117 Prádena del Rincón,2020,125
Total,28117 Prádena del Rincón,2019,117
Total,28117 Prádena del Rincón,2018,117
Total,28117 Prádena del Rincón,2017,132
Total,28117 Prádena del Rincón,2016,134
Total,28118 Puebla de la Sierra,2025,98
Total,28118 Puebla de la Sierra,2024,93
Total,28118 Puebla de la Sierra,2023,99
Total,28118 Puebla de la Sierra,2022,84
Total,28118 Puebla de la Sierra,2021,75
Total,28118 Puebla de la Sierra,2020,73
Total,28118 Puebla de la Sierra,2019,65
Total,28118 Puebla de la Sierra,2018,60
Total,28118 Puebla de la Sierra,2017,61
Total,28118 Puebla de la Sierra,2016,66
Total,28902 Puentes Viejas,2025,759
Total,28902 Puentes Viejas,2024,775
Total,28902 Puentes Viejas,2023,760
Total,28902 Puentes Viejas,2022,697
Total,28902 Puentes Viejas,2021,719
Total,28902 Puentes Viejas,2020,699
Total,28902 Puentes Viejas,2019,679
Total,28902 Puentes Viejas,2018,642
Total,28902 Puentes Viejas,2017,632
Total,28902 Puentes Viejas,2016,627
Total,28119 Quijorna,2025,4.044
Total,28119 Quijorna,2024,4.001
Total,28119 Quijorna,2023,3.863
Total,28119 Quijorna,2022,3.683
Total,28119 Quijorna,2021,3.593
Total,28119 Quijorna,2020,3.541
Total,28119 Quijorna,2019,3.439
Total,28119 Quijorna,2018,3.357
Total,28119 Quijorna,2017,3.282
Total,28119 Quijorna,2016,3.239
Total,28120 Rascafría,2025,1.704
Total,28120 Rascafría,2024,1.707
Total,28120 Rascafría,2023,1.736
Total,28120 Rascafría,2022,1.736
Total,28120 Rascafría,2021,1.754
Total,28120 Rascafría,2020,1.725
Total,28120 Rascafría,2019,1.664
Total,28120 Rascafría,2018,1.663
Total,28120 Rascafría,2017,1.672
Total,28120 Rascafría,2016,1.692
Total,28121 Redueña,2025,288
Total,28121 Redueña,2024,288
Total,28121 Redueña,2023,304
Total,28121 Redueña,2022,298
Total,28121 Redueña,2021,294
Total,28121 Redueña,2020,270
Total,28121 Redueña,2019,260
Total,28121 Redueña,2018,247
Total,28121 Redueña,2017,248
Total,28121 Redueña,2016,261
Total,28122 Ribatejada,2025,905
Total,28122 Ribatejada,2024,900
